superficieEtage1,superficieEtage2,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,superficieSousSolNonAmenagee,climatisation,proxRoute1,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,chauffage,qualiteChauffage,styleBatiment,nbCuisines,qualiteCuisine,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,nbPieces,superficieTotaleSousSol,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,taux_inflation,ames_taux_criminalite,moyenne_indice_prix_logements,superficieTotale,autoroute,proximite_gare,proximite_parc,nbTotalSallesBain,noteGlobale,noteMoyenne,hauteurSs
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Salle de récréation moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Qualité inconnue,0,Fondation Ciment,30-40 m2,1.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1960-1969,75-100 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,2,Sawyer,0,3,3,Pavée,Bardeau composite,Toit pyramidal,Vente normale,118860.36288,Vente Garantie Conventionnelle,Pas de solarium,5,75-100 m2,0,1960-1970,1960-1970,2008,3.8391,313.1278,167.5975,< 200,Non,Non,Non,2.0,10,5.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,1001-1500 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité excellente,Autre matériau extérieur,Autre matériau extérieur  2,Pas de clôture,Bon,2,Fondation Béton,60-80 m2,3.0,Condition garage bonne,Fini,Typique/Moyenne,Garage encastré,2000-2009,200-250 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine excellente,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage pierre,Non défini,Pas d elements divers,7,Northridge Heights,< 5 m2,3,5,Pavée,Bardeau composite,Toit pyramidal,Maison pas terminée,316655.0208,Vente Nouvelle construction,Pas de solarium,10,100-150 m2,10-20 m2,2005 et plus,2005-2010,2006,3.2259,279.7815,163.425,300-400,Non,Non,Non,4.0,14,7.0,Hauteur sous-sol > 2.5 m
500-1000 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Quartiers de vie moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Contreplaqué,Pas de clôture,Qualité inconnue,0,Fondation Ciment,30-40 m2,1.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1960-1969,75-100 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,9,Sawyer,0,3,3,Pavée,Bardeau composite,Toit pyramidal,Vente normale,132169.05216,Vente Garantie Conventionnelle,101-200 m2,4,75-100 m2,10-20 m2,1960-1970,1960-1970,2008,3.8391,313.1278,167.5975,< 200,Non,Non,Non,2.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,0,0,Non fini,1000-1500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,60-80 m2,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage pierre,Non défini,Pas d elements divers,8,College Creek,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Maison pas terminée,256536.45888,Vente Nouvelle construction,Pas de solarium,7,100-150 m2,10-20 m2,2005 et plus,2005-2010,2007,2.8527,387.4317,167.6625,200-300,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Quartiers de vie sous la moyenne,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,101-200 m2,Qualité moyenne,Qualité moyenne,Métal,Métal,Bois de bonne qualité,Médiocre,1,Fondation Ciment,30-40 m2,1.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1960-1969,100-150 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en coin,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,5,North Ames,> 5 m2,3,3,Pavée,Bardeau composite,Toit pyramidal,Vente normale,144100.98048,Vente Garantie Conventionnelle,Pas de solarium,5,100-150 m2,0,1960-1970,1960-1970,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,2.5,11,5.5,Hauteur sous-sol 2 - 2.2 m
500-1000 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Route ville,Boîte à fusibles,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Bois,Bois,Bonne intimité,Qualité inconnue,0,Fondation Brique,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1990-1999,75-100 m2,Chauffage air pulsé,Excellent,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Régulière,Classe Autre,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,7,Autre quartier,> 5 m2,4,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,121154.96448,Vente Garantie Conventionnelle,Pas de solarium,5,75-100 m2,< 10 m2,1925-1950,2000-2005,2007,2.8527,387.4317,167.6625,< 200,Non,Non,Non,1.0,15,7.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Quartiers de vie moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Bois,Bois,Pas de clôture,Moyenne,1,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,75-100 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en cul-de-sac,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Remise,< 1000,3,North Ames,0,4,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,136758.25536,Vente Garantie Conventionnelle,Pas de solarium,5,75-100 m2,0,1970-1980,1970-1980,2010,1.64,306.1383,166.13,< 200,Non,Non,Non,2.0,13,6.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,2,Duplex,Pas de sous-sol,Aucun sous-sol,0,0,Aucun sous-sol,0,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Qualité inconnue,0,Fondation Autre,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Autre type garage,1960-1969,100-150 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,2,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe Autre,Basse densité,0,Aucun placage,Remise,< 1000,10,Sawyer,0,3,2,Pavée,Bardeau composite,Toit à pignon,Vente normale,82605.6576,Vente Garantie Conventionnelle,Pas de solarium,6,0,0,1960-1970,1960-1970,2006,3.2259,279.7815,163.425,< 200,Non,Non,Non,2.0,9,4.5,Pas de sous-sol
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Priximité gare,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,2000-2009,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,6,Autre quartier,> 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,145936.66176,Vente Garantie Conventionnelle,Pas de solarium,6,100-150 m2,0,2000-2005,2000-2005,2008,3.8391,313.1278,167.5975,200-300,Non,Oui,Non,2.5,10,5.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Faible qualité,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Contreplaqué,Intimité minimale,Qualité inconnue,0,Fondation Ciment,20-30 m2,1.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1950-1959,100-150 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,5,North Ames,0,3,3,Pavée,Bardeau composite,Toit pyramidal,"Echange, saisie, vente rapide",127579.84896,Succession,Pas de solarium,6,75-100 m2,0,1950-1960,1960-1970,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Non,1.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,1001-1500 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Exposition moyenne,0,0,Non fini,1000-1500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,60-80 m2,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage encastré,2000-2009,200-250 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en coin,Plus de 31 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,11,Northridge Heights,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Maison pas terminée,298573.560192,Vente Nouvelle construction,Pas de solarium,9,100-150 m2,> 20 m2,2005 et plus,2005-2010,2006,3.2259,279.7815,163.425,300-400,Non,Non,Non,3.5,13,6.5,Hauteur sous-sol > 2.5 m
1000-1500 m2,0 m2,Gravier,3,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Route ville,Boîte à fusibles,201-300 m2,Qualité moyenne,Qualité moyenne,Bois,Bois,Bonne intimité,Bon,1,Fondation Béton,20-30 m2,1.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,Avant 1950,100-150 m2,Chauffage air pulsé,Excellent,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,Classe Autre,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,6,Autre quartier,0,4,4,Terre/Gravier,Bardeau composite,Toit à pignon,Vente normale,127946.985216,Vente Garantie Conventionnelle,Pas de solarium,6,50-75 m2,0,1925-1950,1950-1960,2007,2.8527,387.4317,167.6625,< 200,Non,Non,Non,1.0,14,7.0,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,1500-2336 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,9,College Creek,> 5 m2,3,4,Pavée,Bardeau composite,Toit pyramidal,Vente normale,211103.3472,Vente Garantie Conventionnelle,Pas de solarium,7,> 150 m2,10-20 m2,2000-2005,2000-2005,2008,3.8391,313.1278,167.5975,300-400,Non,Non,Non,2.0,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Autre Type Batiment,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Autre matériau extérieur  2,Pas de clôture,Moyenne,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,75-100 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 201 et 500 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,Classe 1946 et plus recent,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,6,Autre quartier,> 5 m2,4,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,119227.499136,Vente Garantie Conventionnelle,Pas de solarium,6,75-100 m2,< 10 m2,1970-1980,1970-1980,2007,2.8527,387.4317,167.6625,< 200,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
