superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,qualiteSousSol,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,date_taux_inflation,taux_inflation,changement_annuel_taux_inflation,annee_taux_inflation,date_taux_criminalite,ames_taux_criminalite,iowa_taux_criminalite,etatsunis_taux_criminalite,annee_taux_criminalite,annee_indice_prix_logements,moyenne_indice_prix_logements,Latitude,Longitude,Coordonnées
1040,0,0,No alley access,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,No Fence,No Fireplace,0,CBlock,1,Typ,35.674767360000004,1.0,TA,Unf,TA,Detchd,1965.0,96.6191616,0,GasA,Ex,1Story,11,1,TA,Lvl,Gtl,1040.514048,Inside,21.336,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,2,Sawyer,0.0,5,5,Y,0,No Pool,CompShg,Hip,Normal,118860.36288,WD,0,Pave,5,96.6191616,AllPub,0.0,1965,1965,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,40.69662226615848,-91.35459374622498,"40.69662226615848, -91.35459374622498"
1182,1142,0,No alley access,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,No Fence,Gd,2,PConc,3,Typ,68.37663744000001,3.0,TA,Fin,TA,BuiltIn,2005.0,215.90666496,0,GasA,Ex,2Story,12,1,Ex,Lvl,Gtl,1107.77584896,Inside,25.908,IR1,0,60,RL,286.0,Stone,No Miscellaneous feature,0,7,NridgHt,1.95096384,5,9,Y,0,No Pool,CompShg,Hip,Partial,316655.0208,New,0,Pave,11,109.161072,AllPub,13.65674688,2005,2006,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.059828930297805,-93.64963223549479,"42.059828930297805, -93.64963223549479"
912,0,0,No alley access,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,No Fence,No Fireplace,0,CBlock,1,Typ,32.70187008,1.0,TA,Unf,TA,Detchd,1962.0,84.72757248,0,GasA,TA,1Story,13,1,TA,Lvl,Gtl,1204.76662272,Inside,21.03812727272728,IR2,0,20,RL,0.0,None,No Miscellaneous feature,0,9,Sawyer,0.0,6,5,Y,0,No Pool,CompShg,Hip,Normal,132169.05216,WD,176,Pave,4,84.72757248,AllPub,13.0064256,1962,1962,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,40.69662226615848,-91.35459374622498,"40.69662226615848, -91.35459374622498"
1494,0,0,No alley access,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,78.0385536,3.0,TA,RFn,TA,Attchd,2006.0,138.79714176000002,0,GasA,Ex,1Story,14,1,Gd,Lvl,Gtl,989.60318208,Inside,27.7368,IR1,0,20,RL,306.0,Stone,No Miscellaneous feature,0,8,CollgCr,3.06580032,5,7,Y,0,No Pool,CompShg,Gable,Partial,256536.45888,New,0,Pave,7,138.79714176000002,AllPub,14.8644864,2006,2007,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376"
1253,0,0,No alley access,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,32.70187008,1.0,TA,RFn,TA,Attchd,1960.0,116.40750912,1,GasA,TA,1Story,15,1,TA,Lvl,Gtl,1014.5011968,Corner,21.03812727272728,IR1,0,20,RL,212.0,BrkFace,No Miscellaneous feature,0,5,NAmes,19.78834752,5,6,Y,0,No Pool,CompShg,Hip,Normal,144100.98048,WD,0,Pave,5,116.40750912,AllPub,0.0,1960,1960,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.03344461056188,-93.6324105222854,"42.03344461056188, -93.6324105222854"
854,0,0,No alley access,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,No Fireplace,0,BrkTil,1,Typ,53.512151040000006,2.0,TA,Unf,TA,Detchd,1991.0,79.33919616,0,GasA,Ex,1.5Unf,16,1,TA,Lvl,Gtl,568.5666048,Corner,15.5448,Reg,0,45,RM,0.0,None,No Miscellaneous feature,0,7,BrkSide,10.40514048,8,7,Y,0,No Pool,CompShg,Gable,Normal,121154.96448,WD,0,Pave,5,77.29532928,AllPub,4.4593459200000005,1929,2001,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.02860525428564,-93.63044987597965,"42.02860525428564, -93.63044987597965"
1004,0,0,No alley access,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,No Fence,TA,1,CBlock,1,Typ,44.593459200000005,2.0,TA,Fin,TA,Attchd,1970.0,93.27465216,0,GasA,Ex,1Story,17,1,TA,Lvl,Gtl,1044.32307264,CulDSac,21.03812727272728,IR1,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes,0.0,7,6,Y,0,No Pool,CompShg,Gable,Normal,136758.25536,WD,0,Pave,5,93.27465216,AllPub,0.0,1970,1970,2010,2010-12-31,1.64,2.0,2010,2010-12-31,306.1383,268.5396,404.5023,2010,2010,166.13,42.03344461056188,-93.6324105222854,"42.03344461056188, -93.6324105222854"
1296,0,0,No alley access,2,Duplex,No Basement,No Basement,0.0,0.0,No Basement,No Basement,0.0,0.0,No Basement,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,No Fireplace,0,Slab,2,Typ,47.93796864,2.0,TA,Unf,TA,CarPort,1967.0,120.40233984,0,GasA,TA,1Story,18,2,TA,Lvl,Gtl,1002.51670464,Inside,21.9456,Reg,0,90,RL,0.0,None,Shed,500,10,Sawyer,0.0,5,4,Y,0,No Pool,CompShg,Gable,Normal,82605.6576,WD,0,Pave,6,0.0,AllPub,0.0,1967,1967,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,40.69662226615848,-91.35459374622498,"40.69662226615848, -91.35459374622498"
1114,0,0,No alley access,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,1,Typ,53.512151040000006,2.0,TA,Unf,TA,Detchd,2004.0,103.49398656,1,GasA,Ex,1Story,19,1,Gd,Lvl,Gtl,1272.3071328,Inside,20.1168,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,6,SawyerW,9.47611008,5,5,Y,0,No Pool,CompShg,Gable,Normal,145936.66176,WD,0,Pave,6,103.49398656,AllPub,0.0,2004,2004,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,40.705565728274664,-91.4093598448185,"40.705565728274664, -91.4093598448185"
1339,0,0,No alley access,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,MnPrv,No Fireplace,0,CBlock,1,Min1,27.31349376,1.0,TA,Unf,TA,Attchd,1958.0,124.39717056,0,GasA,TA,1Story,20,1,TA,Lvl,Gtl,702.3469824,Inside,21.336,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,NAmes,0.0,6,5,Y,0,No Pool,CompShg,Hip,Abnorml,127579.84896,COD,0,Pave,6,95.59722816,AllPub,0.0,1958,1965,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,42.03344461056188,-93.6324105222854,"42.03344461056188, -93.6324105222854"
1158,1218,0,No alley access,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,3,Typ,79.24629312,3.0,TA,RFn,TA,BuiltIn,2005.0,220.73762304,1,GasA,Ex,2Story,21,1,Gd,Lvl,Gtl,1320.6167136,Corner,30.7848,IR1,0,60,RL,380.0,BrkFace,No Miscellaneous feature,0,11,NridgHt,14.307068160000002,5,8,Y,0,No Pool,CompShg,Gable,Partial,298573.560192,New,0,Pave,9,107.58172032,AllPub,22.296729600000003,2005,2006,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.059828930297805,-93.64963223549479,"42.059828930297805, -93.64963223549479"
1108,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,26.0128512,1.0,TA,Unf,TA,Attchd,1930.0,102.93656832,0,GasA,Ex,1.5Unf,22,1,Gd,Bnk,Gtl,692.03474496,Inside,17.3736,Reg,0,45,RM,0.0,None,No Miscellaneous feature,0,6,IDOTRR,0.0,7,7,N,0,No Pool,CompShg,Gable,Normal,127946.985216,WD,0,Pave,6,59.17923648000001,AllPub,0.0,1930,1950,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.00954136946634,-93.55969070172078,"42.00954136946634, -93.55969070172078"
1795,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,49.610223360000006,2.0,TA,RFn,TA,Attchd,2002.0,166.7609568,0,GasA,Ex,1Story,23,1,Gd,Lvl,Gtl,905.06141568,Inside,22.86,Reg,0,20,RL,281.0,BrkFace,No Miscellaneous feature,0,9,CollgCr,14.77158336,5,8,Y,0,No Pool,CompShg,Hip,Normal,211103.3472,WD,0,Pave,7,165.08870208000002,AllPub,15.88641984,2002,2002,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376"
1060,0,0,No alley access,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,No Fence,TA,1,PConc,1,Typ,53.14053888,2.0,TA,Unf,TA,Attchd,1976.0,98.4772224,0,GasA,TA,1Story,24,1,TA,Lvl,Gtl,392.42244096,Inside,13.4112,Reg,0,120,RM,0.0,None,No Miscellaneous feature,0,6,MeadowV,10.2193344,7,5,Y,0,No Pool,CompShg,Gable,Normal,119227.499136,WD,0,Pave,6,96.6191616,AllPub,9.290304,1976,1976,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,41.354190940836986,-93.58808611483393,"41.354190940836986, -93.58808611483393"
1060,0,0,No alley access,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,25.0838208,1.0,TA,Unf,TA,Attchd,1968.0,98.4772224,0,GasA,Ex,1Story,25,1,Gd,Lvl,Gtl,766.07846784,Inside,21.03812727272728,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,5,Sawyer,8.3612736,8,5,Y,0,No Pool,CompShg,Gable,Normal,141347.45856,WD,0,Pave,6,98.4772224,AllPub,37.71863424,1968,2001,2010,2010-12-31,1.64,2.0,2010,2010-12-31,306.1383,268.5396,404.5023,2010,2010,166.13,40.69662226615848,-91.35459374622498,"40.69662226615848, -91.35459374622498"
1600,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,82.68370560000001,3.0,TA,RFn,TA,Attchd,2007.0,148.644864,0,GasA,Ex,1Story,26,1,Gd,Lvl,Gtl,1322.0102592,Corner,33.528,Reg,0,20,RL,640.0,Stone,No Miscellaneous feature,0,7,NridgHt,5.20257024,5,8,Y,0,No Pool,CompShg,Gable,Normal,235242.556032,WD,0,Pave,7,145.48616064,AllPub,0.0,2007,2007,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,42.059828930297805,-93.64963223549479,"42.059828930297805, -93.64963223549479"
900,0,0,No alley access,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,No Fence,No Fireplace,0,CBlock,1,Typ,53.512151040000006,2.0,TA,Unf,TA,Detchd,2005.0,83.61273600000001,0,GasA,TA,1Story,27,1,Gd,Lvl,Gtl,668.9018880000001,Corner,18.288,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,NAmes,2.97289728,7,5,Y,0,No Pool,CompShg,Gable,Normal,123724.918272,WD,0,Pave,5,83.61273600000001,AllPub,20.62447488,1951,2000,2010,2010-12-31,1.64,2.0,2010,2010-12-31,306.1383,268.5396,404.5023,2010,2010,166.13,42.03344461056188,-93.6324105222854,"42.03344461056188, -93.6324105222854"
1704,0,0,No alley access,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,71.72114688,3.0,TA,RFn,TA,Attchd,2008.0,158.30678016000002,0,GasA,Ex,1Story,28,1,Gd,Lvl,Gtl,1066.34109312,Inside,29.8704,Reg,0,20,RL,200.0,Stone,No Miscellaneous feature,0,5,NridgHt,4.645152,5,8,Y,0,No Pool,CompShg,Gable,Normal,280859.23584,WD,0,Pave,7,158.30678016000002,AllPub,0.0,2007,2008,2010,2010-12-31,1.64,2.0,2010,2010-12-31,306.1383,268.5396,404.5023,2010,2010,166.13,42.059828930297805,-93.64963223549479,"42.059828930297805, -93.64963223549479"
1600,0,0,No alley access,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,Gd,2,CBlock,1,Typ,29.63606976,1.0,TA,RFn,TA,Attchd,1957.0,148.644864,0,GasA,TA,1Story,29,1,TA,Lvl,Gtl,1516.27051584,CulDSac,14.3256,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,12,NAmes,23.96898432,6,5,Y,0,No Pool,CompShg,Gable,Normal,190451.9328,WD,0,Pave,6,137.86811136,AllPub,26.756075520000003,1957,1997,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.03344461056188,-93.6324105222854,"42.03344461056188, -93.6324105222854"
520,0,0,No alley access,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,No Fence,No Fireplace,0,BrkTil,1,Typ,22.296729600000003,1.0,TA,Unf,Fa,Detchd,1920.0,48.309580800000006,0,GasA,Fa,1Story,30,1,Fa,Lvl,Gtl,587.5188249600001,Inside,18.288,IR1,0,30,RM,0.0,None,No Miscellaneous feature,0,5,BrkSide,0.0,6,4,Y,0,No Pool,CompShg,Gable,Normal,62872.08384,WD,0,Pave,4,48.309580800000006,AllPub,4.55224896,1927,1950,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.02860525428564,-93.63044987597965,"42.02860525428564, -93.63044987597965"
