superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,qualiteSousSol,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente
1040,0,0,No alley access,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,No Fence,No Fireplace,0,CBlock,1,Typ,384.0,1.0,TA,Unf,TA,Detchd,1965.0,1040.0,0,GasA,Ex,1Story,11,1,TA,Lvl,Gtl,11200.0,Inside,69.99999999999999,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,2,Sawyer,0.0,5,5,Y,0,No Pool,CompShg,Hip,Normal,129500.0,WD,0,Pave,5,1040.0,AllPub,0.0,1965,1965,2008
1182,1142,0,No alley access,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,No Fence,Gd,2,PConc,3,Typ,736.0000000000001,3.0,TA,Fin,TA,BuiltIn,2005.0,2324.0,0,GasA,Ex,2Story,12,1,Ex,Lvl,Gtl,11924.0,Inside,85.0,IR1,0,60,RL,286.0,Stone,No Miscellaneous feature,0,7,NridgHt,21.0,5,9,Y,0,No Pool,CompShg,Hip,Partial,345000.0,New,0,Pave,11,1175.0,AllPub,147.0,2005,2006,2006
912,0,0,No alley access,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,No Fence,No Fireplace,0,CBlock,1,Typ,351.99999999999994,1.0,TA,Unf,TA,Detchd,1962.0,912.0,0,GasA,TA,1Story,13,1,TA,Lvl,Gtl,12967.999999999998,Inside,69.02272727272727,IR2,0,20,RL,0.0,None,No Miscellaneous feature,0,9,Sawyer,0.0,6,5,Y,0,No Pool,CompShg,Hip,Normal,144000.0,WD,176,Pave,4,912.0,AllPub,140.0,1962,1962,2008
1494,0,0,No alley access,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,840.0,3.0,TA,RFn,TA,Attchd,2006.0,1494.0,0,GasA,Ex,1Story,14,1,Gd,Lvl,Gtl,10652.0,Inside,90.99999999999999,IR1,0,20,RL,306.0,Stone,No Miscellaneous feature,0,8,CollgCr,33.0,5,7,Y,0,No Pool,CompShg,Gable,Partial,279500.0,New,0,Pave,7,1494.0,AllPub,160.0,2006,2007,2007
1253,0,0,No alley access,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,351.99999999999994,1.0,TA,RFn,TA,Attchd,1960.0,1253.0,1,GasA,TA,1Story,15,1,TA,Lvl,Gtl,10920.0,Corner,69.02272727272727,IR1,0,20,RL,212.0,BrkFace,No Miscellaneous feature,0,5,NAmes,212.99999999999997,5,6,Y,0,No Pool,CompShg,Hip,Normal,157000.0,WD,0,Pave,5,1253.0,AllPub,0.0,1960,1960,2008
854,0,0,No alley access,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,No Fireplace,0,BrkTil,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1991.0,854.0,0,GasA,Ex,1.5Unf,16,1,TA,Lvl,Gtl,6120.0,Corner,51.0,Reg,0,45,RM,0.0,None,No Miscellaneous feature,0,7,BrkSide,111.99999999999999,8,7,Y,0,No Pool,CompShg,Gable,Normal,132000.0,WD,0,Pave,5,832.0,AllPub,48.0,1929,2001,2007
1004,0,0,No alley access,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,No Fence,TA,1,CBlock,1,Typ,480.0,2.0,TA,Fin,TA,Attchd,1970.0,1004.0,0,GasA,Ex,1Story,17,1,TA,Lvl,Gtl,11240.999999999998,CulDSac,69.02272727272727,IR1,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes,0.0,7,6,Y,0,No Pool,CompShg,Gable,Normal,149000.0,WD,0,Pave,5,1004.0,AllPub,0.0,1970,1970,2010
1296,0,0,No alley access,2,Duplex,No Basement,No Basement,0.0,0.0,No Basement,No Basement,0.0,0.0,No Basement,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,No Fireplace,0,Slab,2,Typ,516.0,2.0,TA,Unf,TA,CarPort,1967.0,1295.9999999999998,0,GasA,TA,1Story,18,2,TA,Lvl,Gtl,10790.999999999998,Inside,71.99999999999999,Reg,0,90,RL,0.0,None,Shed,500,10,Sawyer,0.0,5,4,Y,0,No Pool,CompShg,Gable,Normal,90000.00000000001,WD,0,Pave,6,0.0,AllPub,0.0,1967,1967,2006
1114,0,0,No alley access,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2004.0,1113.9999999999998,1,GasA,Ex,1Story,19,1,Gd,Lvl,Gtl,13695.0,Inside,66.0,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,6,SawyerW,101.99999999999999,5,5,Y,0,No Pool,CompShg,Gable,Normal,159000.0,WD,0,Pave,6,1113.9999999999998,AllPub,0.0,2004,2004,2008
1339,0,0,No alley access,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,MnPrv,No Fireplace,0,CBlock,1,Min1,294.0,1.0,TA,Unf,TA,Attchd,1958.0,1339.0,0,GasA,TA,1Story,20,1,TA,Lvl,Gtl,7559.999999999999,Inside,69.99999999999999,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,NAmes,0.0,6,5,Y,0,No Pool,CompShg,Hip,Abnorml,139000.0,COD,0,Pave,6,1029.0,AllPub,0.0,1958,1965,2009
1158,1218,0,No alley access,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,3,Typ,853.0,3.0,TA,RFn,TA,BuiltIn,2005.0,2375.9999999999995,1,GasA,Ex,2Story,21,1,Gd,Lvl,Gtl,14214.999999999998,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,No Miscellaneous feature,0,11,NridgHt,154.0,5,8,Y,0,No Pool,CompShg,Gable,Partial,325300.0,New,0,Pave,9,1158.0,AllPub,240.0,2005,2006,2006
1108,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280.0,1.0,TA,Unf,TA,Attchd,1930.0,1108.0,0,GasA,Ex,1.5Unf,22,1,Gd,Bnk,Gtl,7449.0,Inside,56.99999999999999,Reg,0,45,RM,0.0,None,No Miscellaneous feature,0,6,IDOTRR,0.0,7,7,N,0,No Pool,CompShg,Gable,Normal,139400.0,WD,0,Pave,6,637.0,AllPub,0.0,1930,1950,2007
1795,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,534.0,2.0,TA,RFn,TA,Attchd,2002.0,1795.0,0,GasA,Ex,1Story,23,1,Gd,Lvl,Gtl,9742.0,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,No Miscellaneous feature,0,9,CollgCr,158.99999999999997,5,8,Y,0,No Pool,CompShg,Hip,Normal,230000.0,WD,0,Pave,7,1777.0,AllPub,171.0,2002,2002,2008
1060,0,0,No alley access,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,No Fence,TA,1,PConc,1,Typ,572.0,2.0,TA,Unf,TA,Attchd,1976.0,1060.0,0,GasA,TA,1Story,24,1,TA,Lvl,Gtl,4224.0,Inside,43.99999999999999,Reg,0,120,RM,0.0,None,No Miscellaneous feature,0,6,MeadowV,109.99999999999999,7,5,Y,0,No Pool,CompShg,Gable,Normal,129900.0,WD,0,Pave,6,1040.0,AllPub,100.0,1976,1976,2007
1060,0,0,No alley access,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270.0,1.0,TA,Unf,TA,Attchd,1968.0,1060.0,0,GasA,Ex,1Story,25,1,Gd,Lvl,Gtl,8246.0,Inside,69.02272727272727,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,5,Sawyer,90.0,8,5,Y,0,No Pool,CompShg,Gable,Normal,154000.0,WD,0,Pave,6,1060.0,AllPub,406.0,1968,2001,2010
1600,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,890.0,3.0,TA,RFn,TA,Attchd,2007.0,1600.0,0,GasA,Ex,1Story,26,1,Gd,Lvl,Gtl,14230.0,Corner,109.99999999999999,Reg,0,20,RL,640.0,Stone,No Miscellaneous feature,0,7,NridgHt,55.99999999999999,5,8,Y,0,No Pool,CompShg,Gable,Normal,256300.0,WD,0,Pave,7,1566.0,AllPub,0.0,2007,2007,2009
900,0,0,No alley access,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,No Fence,No Fireplace,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2005.0,900.0000000000001,0,GasA,TA,1Story,27,1,Gd,Lvl,Gtl,7200.000000000001,Corner,60.0,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,NAmes,32.0,7,5,Y,0,No Pool,CompShg,Gable,Normal,134800.0,WD,0,Pave,5,900.0000000000001,AllPub,222.0,1951,2000,2010
1704,0,0,No alley access,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,772.0,3.0,TA,RFn,TA,Attchd,2008.0,1704.0,0,GasA,Ex,1Story,28,1,Gd,Lvl,Gtl,11478.0,Inside,98.0,Reg,0,20,RL,200.0,Stone,No Miscellaneous feature,0,5,NridgHt,50.0,5,8,Y,0,No Pool,CompShg,Gable,Normal,306000.0,WD,0,Pave,7,1704.0,AllPub,0.0,2007,2008,2010
1600,0,0,No alley access,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,Gd,2,CBlock,1,Typ,319.0,1.0,TA,RFn,TA,Attchd,1957.0,1600.0,0,GasA,TA,1Story,29,1,TA,Lvl,Gtl,16320.999999999998,CulDSac,47.0,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,12,NAmes,258.0,6,5,Y,0,No Pool,CompShg,Gable,Normal,207500.0,WD,0,Pave,6,1484.0,AllPub,288.0,1957,1997,2006
520,0,0,No alley access,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,No Fence,No Fireplace,0,BrkTil,1,Typ,240.0,1.0,TA,Unf,Fa,Detchd,1920.0,520.0,0,GasA,Fa,1Story,30,1,Fa,Lvl,Gtl,6324.0,Inside,60.0,IR1,0,30,RM,0.0,None,No Miscellaneous feature,0,5,BrkSide,0.0,6,4,Y,0,No Pool,CompShg,Gable,Normal,68500.0,WD,0,Pave,4,520.0,AllPub,49.0,1927,1950,2008
649,668,0,Pave,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,649.0,N,Feedr,Norm,SBrkr,172,Fa,TA,BrkFace,BrkFace,MnPrv,No Fireplace,0,BrkTil,1,Typ,250.0,1.0,Fa,Unf,TA,Detchd,1920.0,1316.9999999999998,0,GasA,TA,2Story,31,1,TA,Lvl,Gtl,8500.0,Inside,50.0,Reg,0,70,C (all),0.0,None,No Miscellaneous feature,0,7,IDOTRR,54.0,4,4,N,0,No Pool,CompShg,Gambrel,Normal,40000.0,WD,0,Pave,6,649.0,AllPub,0.0,1920,1950,2008
1228,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1228.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,No Fireplace,0,CBlock,1,Typ,271.0,1.0,TA,Unf,TA,Attchd,1966.0,1228.0,1,GasA,Gd,1Story,32,1,Gd,Lvl,Gtl,8544.0,CulDSac,69.02272727272727,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,6,Sawyer,65.0,6,5,Y,0,No Pool,CompShg,Gable,Normal,149350.0,WD,0,Pave,6,1228.0,AllPub,0.0,1966,2006,2008
1234,0,0,No alley access,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1234.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2007.0,1234.0,0,GasA,Ex,1Story,33,1,Gd,Lvl,Gtl,11049.0,Corner,85.0,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,1,CollgCr,30.0,5,8,Y,0,No Pool,CompShg,Gable,Normal,179900.0,WD,0,Pave,7,1234.0,AllPub,0.0,2007,2007,2008
1700,0,0,No alley access,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0.0,1.0,TA,380.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,No Fence,Gd,1,CBlock,1,Typ,446.99999999999994,2.0,TA,RFn,TA,Attchd,1959.0,1700.0,1,GasA,Gd,1Story,34,1,Gd,Lvl,Gtl,10552.0,Inside,69.99999999999999,IR1,0,20,RL,0.0,None,No Miscellaneous feature,0,4,NAmes,38.0,5,5,Y,0,No Pool,CompShg,Hip,Normal,165500.0,WD,0,Pave,6,1398.0,AllPub,0.0,1959,1959,2010
1561,0,0,No alley access,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1.0,0.0,Ex,408.0,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,No Fence,Gd,1,PConc,2,Typ,556.0,2.0,TA,Fin,TA,Attchd,2005.0,1560.9999999999998,0,GasA,Ex,1Story,35,1,Ex,Lvl,Gtl,7312.999999999999,Inside,60.0,Reg,0,120,RL,246.0,BrkFace,No Miscellaneous feature,0,8,NridgHt,47.0,5,9,Y,0,No Pool,CompShg,Hip,Normal,277500.0,WD,0,Pave,6,1560.9999999999998,AllPub,203.0,2005,2005,2007
1132,1320,0,No alley access,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1117.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,3,Typ,691.0,3.0,TA,Fin,TA,BuiltIn,2004.0,2451.9999999999995,1,GasA,Ex,2Story,36,1,Gd,Lvl,Gtl,13418.0,Inside,107.99999999999999,Reg,0,60,RL,132.0,Stone,No Miscellaneous feature,0,9,NridgHt,32.0,5,8,Y,0,No Pool,CompShg,Gable,Normal,309000.0,WD,0,Pave,9,1117.0,AllPub,112.99999999999999,2004,2005,2006
1097,0,0,No alley access,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1097.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,1,Typ,672.0,2.0,TA,Unf,TA,Attchd,1995.0,1096.9999999999998,1,GasA,Ex,1Story,37,1,TA,Lvl,Gtl,10858.999999999998,Corner,111.99999999999999,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,6,CollgCr,64.0,5,5,Y,0,No Pool,CompShg,Gable,Normal,145000.0,WD,0,Pave,6,1096.9999999999998,AllPub,392.0,1994,1995,2009
1297,0,0,No alley access,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0.0,1.0,TA,84.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,No Fence,TA,1,CBlock,1,Typ,498.0,2.0,TA,Fin,TA,Attchd,1954.0,1297.0,0,GasA,Gd,1Story,38,1,TA,Lvl,Gtl,8532.0,Inside,74.0,Reg,0,20,RL,650.0,BrkFace,No Miscellaneous feature,0,10,NAmes,0.0,6,5,Y,0,No Pool,CompShg,Hip,Normal,153000.0,WD,0,Pave,5,1297.0,AllPub,0.0,1954,1990,2009
1057,0,0,No alley access,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1.0,0.0,TA,326.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,No Fence,No Fireplace,0,CBlock,1,Typ,246.00000000000003,1.0,TA,Unf,TA,Detchd,1953.0,1057.0,0,GasA,TA,1Story,39,1,Gd,Lvl,Gtl,7922.0,Inside,68.0,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,1,NAmes,52.0,7,5,Y,0,No Pool,CompShg,Gable,Abnorml,109000.0,WD,0,Pave,5,1057.0,AllPub,0.0,1953,2007,2010
1152,0,0,No alley access,2,Duplex,No Basement,No Basement,0.0,0.0,No Basement,No Basement,0.0,0.0,No Basement,0.0,N,Norm,Norm,FuseP,0,TA,TA,AsbShng,Plywood,No Fence,No Fireplace,0,PConc,2,Typ,0.0,0.0,No Garage,No Garage,No Garage,No Garage,0.0,1152.0,0,GasA,TA,1Story,40,2,Fa,Lvl,Gtl,6040.0,Inside,65.0,Reg,0,90,RL,0.0,None,No Miscellaneous feature,0,6,Edwards,0.0,5,4,N,0,No Pool,CompShg,Gable,AdjLand,82000.0,WD,0,Pave,6,0.0,AllPub,0.0,1955,1955,2008
